date,time,status,lat,lon,altitude,now
2016/07/05,8:00:00,1,35.337127,139.993169,500,0
2016/07/05,8:02:00,1,35.335587,139.992997,700,0
2016/07/05,8:04:00,1,35.333907,139.992826,1000,0
2016/07/05,8:06:00,1,35.332926,139.991367,800,0
2016/07/05,8:08:00,1,35.332086,139.990165,200,1
2016/07/05,8:10:00,1,35.331246,139.988792,100,0
2016/07/05,8:12:00,1,35.329845,139.988448,50,0
2016/07/05,8:14:00,1,35.328165,139.988448,600,0
2016/07/05,8:16:00,1,35.325644,139.987933,1200,0
2016/07/05,8:18:00,1,35.324663,139.987418,1800,0
2016/07/05,8:20:00,1,35.323823,139.988448,500,0
2016/07/05,8:22:00,1,35.323263,139.989307,0,0
2016/07/05,8:24:00,1,35.322002,139.989307,1000,0
2016/07/05,8:26:00,1,35.320181,139.989822,2000,1
2016/07/05,8:28:00,1,35.319341,139.99068,500,0
2016/07/05,8:30:00,1,35.31822,139.991195,0,0
2016/07/05,8:32:00,1,35.31738,139.992911,0,0
2016/07/05,8:34:00,1,35.3171,139.994113,0,0
2016/07/05,8:36:00,1,35.3164,139.995315,0,0
2016/07/05,8:38:00,1,35.315419,139.99686,0,0
2016/07/05,8:40:00,1,35.314719,139.998061,0,1
2016/07/05,8:42:00,1,35.314579,139.99995,0,0
2016/07/05,8:44:00,1,35.314298,140.001838,0,0
2016/07/05,8:46:00,1,35.314018,140.003211,0,0
2016/07/05,8:48:00,1,35.313738,140.003383,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
